idVotacao,dataHoraVoto,voto,deputado_id,deputado_nome,deputado_siglaPartido,deputado_siglaUf,tema
2226362-7,2019-10-30 20:56:42,Sim,178962,Carlos Gomes,REPUBLICANOS,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:43,Sim,204361,Carlos Chiodini,MDB,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:44,Sim,141508,Mauro Nazif,PSB,RO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:45,Sim,204453,Natália Bonavides,PT,RN,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:46,Sim,109429,Benes Leocádio,REPUBLICANOS,RN,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:47,Sim,139285,Lídice da Mata,PSB,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:47,Sim,121948,Adriano do Baldy,PP,GO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:52,Sim,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:52,Sim,141408,Cleber Verde,REPUBLICANOS,MA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:53,Sim,204414,Aroldo Martins,REPUBLICANOS,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:54,Sim,204405,Liziane Bayer,PSB,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:54,Sim,178863,Uldurico Junior,PROS,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:55,Sim,74356,Silas Câmara,REPUBLICANOS,AM,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:55,Sim,178896,Newton Cardoso Jr,MDB,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:55,Sim,204399,Schiavinato,PP,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:56,Sim,74044,Wilson Santiago,PTB,PB,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:58,Sim,204455,Luiz Lima,PSL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:58,Sim,204456,Gutemberg Reis,MDB,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:59,Sim,160545,Alexandre Leite,DEM,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:00,Sim,164360,Carmen Zanotto,CIDADANIA,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:01,Sim,160599,Dimas Fabiano,PP,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:01,Sim,161550,Emidinho Madeira,PSB,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:03,Obstrução,73531,Ivan Valente,PSOL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:04,Sim,204434,Dra. Vanda Milani,SOLIDARIEDADE,AC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:06,Sim,204387,Sargento Fahur,PSD,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:06,Sim,178843,Marx Beltrão,PSD,AL,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:09,Sim,74090,Átila Lins,PP,AM,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:10,Sim,160642,Pastor Eurico,PATRI,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:11,Sim,204373,Hélio Costa,REPUBLICANOS,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:11,Sim,204523,Lucas Gonzalez,NOVO,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:12,Sim,74262,Carlos Sampaio,PSDB,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:12,Sim,198197,Greyce Elias,AVANTE,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:13,Sim,204448,Luiz Antônio Corrêa,PL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:14,Sim,178871,Evair Vieira de Melo,PP,ES,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:14,Sim,204497,Júnior Ferrari,PSD,PA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:15,Sim,204485,Luiz Carlos Motta,PL,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:15,Sim,206231,Ted Conti,PSB,ES,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:16,Sim,178921,Sebastião Oliveira,PL,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:17,Sim,204558,Marcelo Nilo,PSB,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:17,Sim,178953,Expedito Netto,PSD,RO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:19,Sim,74537,Claudio Cajado,PP,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:20,Sim,204366,Rodrigo Coelho,PSB,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:22,Sim,204416,Sanderson,PSL,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:22,Sim,178937,Altineu Côrtes,PL,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:25,Sim,204547,Léo Motta,PSL,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:25,Sim,122466,Ronaldo Martins,REPUBLICANOS,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:26,Sim,205865,Reinhold Stephanes Junior,PSD,PR,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:26,Sim,198783,Emanuel Pinheiro Neto,PTB,MT,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:27,Sim,204560,Adolfo Viana,PSDB,BA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:29,Sim,204569,Delegado Pablo,PSL,AM,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:29,Sim,204467,Professora Rosa Neide,PT,MT,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:30,Sim,141391,Arnaldo Jardim,CIDADANIA,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:32,Sim,152610,Roberto Alves,REPUBLICANOS,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:57:34,Sim,160569,Waldenor Pereira,PT,BA,Finanças Públicas e Orçamento
