uriProposicao,siglaTipo,numero,ano,codTema,tema,relevancia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/284086,PFC,75,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/285732,PFC,76,2005.0,40,Economia,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/286045,PFC,77,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275279,MSC,77,2005.0,66,"Indústria, Comércio e Serviços",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275279,MSC,77,2005.0,51,Estrutura Fundiária,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275279,MSC,77,2005.0,55,Relações Internacionais e Comércio Exterior,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/286062,PFC,78,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/287079,PFC,79,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/288604,PFC,80,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/288617,PFC,81,2005.0,48,Meio Ambiente e Desenvolvimento Sustentável,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/290232,PFC,82,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/291667,PFC,83,2005.0,51,Estrutura Fundiária,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292067,PFC,84,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292067,PFC,84,2005.0,40,Economia,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292069,PFC,85,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/292692,PFC,86,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274878,SUG,86,2005.0,74,"Política, Partidos e Eleições",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/293631,PFC,87,2005.0,39,Esporte e Lazer,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274879,SUG,87,2005.0,42,Direito Civil e Processual Civil,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/294442,PFC,88,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/294442,PFC,88,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274880,SUG,88,2005.0,44,Direitos Humanos e Minorias,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274880,SUG,88,2005.0,61,"Viação, Transporte e Mobilidade",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/294824,PFC,89,2005.0,40,Economia,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274881,SUG,89,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275369,MSC,89,2005.0,46,Educação,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275369,MSC,89,2005.0,52,Previdência e Assistência Social,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275369,MSC,89,2005.0,55,Relações Internacionais e Comércio Exterior,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/294898,PFC,90,2005.0,56,Saúde,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274882,SUG,90,2005.0,46,Educação,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/294954,PFC,91,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275269,SUG,91,2005.0,40,Economia,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/296464,PFC,92,2005.0,70,Finanças Públicas e Orçamento,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275270,SUG,92,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/298342,PFC,93,2005.0,46,Educação,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275698,SUG,93,2005.0,74,"Política, Partidos e Eleições",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/298343,PFC,94,2005.0,40,Economia,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/275699,SUG,94,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/298344,PFC,95,2005.0,56,Saúde,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/283491,SUG,95,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/283491,SUG,95,2005.0,76,Direito e Justiça,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/298532,PFC,96,2005.0,51,Estrutura Fundiária,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/283494,SUG,96,2005.0,48,Meio Ambiente e Desenvolvimento Sustentável,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/283494,SUG,96,2005.0,61,"Viação, Transporte e Mobilidade",0
